更新时间,#genre#
2025-03-30 16:29:42,url


央视频道,#genre#
CCTV12,http://114.254.147.143:23234/udp/239.3.1.64:8124
CCTV12 社会与法[1920x1080],http://116.30.251.13:8088/udp/239.77.0.136:5146
CCTV12 社会与法[1920x1080],http://116.30.251.13:8088/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://116.30.251.13:8088/udp/239.77.1.170:5146
CCTV12 社会与法[1920x1080],http://113.104.185.200:7088/udp/239.77.0.136:5146
CCTV12 社会与法[1920x1080],http://113.104.185.200:7088/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://113.104.185.200:7088/udp/239.77.1.170:5146
CCTV13,http://114.254.145.176:23234/udp/239.3.1.124:8128
CCTV13,http://114.254.147.143:23234/udp/239.3.1.124:8128
CCTV13 新闻[1920x1080],http://116.30.251.13:8088/udp/239.253.43.196:5146
CCTV13 新闻[1920x1080],http://116.30.251.13:8088/udp/239.77.0.188:5146
CCTV13 新闻[1920x1080],http://113.104.185.200:7088/udp/239.253.43.196:5146
CCTV13 新闻[1920x1080],http://113.104.185.200:7088/udp/239.77.0.188:5146
CCTV14,http://114.254.147.143:23234/udp/239.3.1.65:8132
CCTV14,http://114.254.145.176:23234/udp/239.3.1.65:8132
CCTV14,http://114.254.147.143:23234/udp/239.3.1.65:8132
CCTV14 少儿[1920x1080],http://116.30.251.13:8088/udp/239.77.0.133:5146
CCTV14 少儿[1920x1080],http://116.30.251.13:8088/udp/239.77.1.161:5146
CCTV14 少儿[1920x1080],http://116.30.251.13:8088/udp/239.77.1.171:5146
CCTV14 少儿[1920x1080],http://113.104.185.200:7088/udp/239.77.0.133:5146
CCTV14 少儿[1920x1080],http://113.104.185.200:7088/udp/239.77.1.161:5146
CCTV14 少儿[1920x1080],http://113.104.185.200:7088/udp/239.77.1.171:5146
CCTV15,http://114.254.145.176:23234/udp/239.3.1.153:8136
CCTV15,http://114.254.147.143:23234/udp/239.3.1.153:8136
CCTV15 音乐[1920x1080],http://116.30.251.13:8088/udp/239.77.1.239:5146
CCTV15 音乐[1920x1080],http://113.104.185.200:7088/udp/239.77.1.239:5146
CCTV16,http://114.254.147.143:23234/udp/239.3.1.184:8001
CCTV16,http://114.254.145.176:23234/udp/239.3.1.184:8001
CCTV16,http://114.254.147.143:23234/udp/239.3.1.184:8001
CCTV16 奥林匹克[1920x1080],http://116.30.251.13:8088/udp/239.77.0.165:5146
CCTV16 奥林匹克[1920x1080],http://116.30.251.13:8088/udp/239.77.1.76:5146
CCTV16 奥林匹克[1920x1080],http://113.104.185.200:7088/udp/239.77.0.165:5146
CCTV16 奥林匹克[1920x1080],http://113.104.185.200:7088/udp/239.77.1.76:5146
CCTV16[4k],http://114.254.145.176:23234/udp/239.3.1.183:8001
CCTV16[4k],http://114.254.147.143:23234/udp/239.3.1.183:8001
CCTV17,http://114.254.147.143:23234/udp/239.3.1.151:8144
CCTV17,http://114.254.145.176:23234/udp/239.3.1.151:8144
CCTV17,http://114.254.147.143:23234/udp/239.3.1.151:8144
CCTV17 农业农村[1920x1080],http://116.30.251.13:8088/udp/239.77.0.198:5146
CCTV17 农业农村[1920x1080],http://116.30.251.13:8088/udp/239.77.1.121:5146
CCTV17 农业农村[1920x1080],http://113.104.185.200:7088/udp/239.77.0.198:5146
CCTV17 农业农村[1920x1080],http://113.104.185.200:7088/udp/239.77.1.121:5146
CCTV-1综合标清,http://27.46.65.16:17088/udp/239.0.1.65:8080
CCTV-1综合标清,http://27.46.65.16:17088/udp/239.0.1.65:8080
CCTV-2财经标清,http://27.46.65.16:17088/udp/239.0.1.66:8004
CCTV-2财经标清,http://27.46.65.16:17088/udp/239.0.1.66:8004
CCTV-3综艺标清,http://27.46.65.16:17088/udp/239.0.1.103:5052
CCTV-3综艺标清,http://27.46.65.16:17088/udp/239.0.1.103:5052
CCTV-3高清测试,http://27.46.65.16:17088/udp/239.0.1.177:6037
CCTV-3高清测试,http://27.46.65.16:17088/udp/239.0.1.177:6037
CCTV-4中文国际标清,http://27.46.65.16:17088/udp/239.0.1.67:8216
CCTV-4中文国际标清,http://27.46.65.16:17088/udp/239.0.1.67:8216
CCTV-4高清,http://27.46.65.16:17088/udp/239.0.1.180:6040
CCTV-4高清,http://27.46.65.16:17088/udp/239.0.1.180:6040
CCTV-5体育标清,http://27.46.65.16:17088/udp/239.0.1.104:5053
